news_id;user_id
53;1
39;1
67;1
52;1
194;1
194;1
110;1
298;1
125;1
74;1
110;1
94;1
211;1
74;1
53;1
67;1
52;1
543;2
381;2
444;3
67;4
298;5
596;6
70;7
558;8
536;9
482;10
596;11
123;12
1;12
59;13
53;14
307;14
56;14
131;14
94;14
58;14
517;15
179;16
144;17
471;18
471;18
592;18
435;18
471;18
471;18
590;18
548;18
428;18
554;18
428;18
386;18
592;18
592;18
592;18
184;19
443;20
590;20
346;20
287;21
272;21
258;21
255;21
264;21
265;21
255;21
105;21
254;21
273;21
293;21
298;21
94;21
170;21
90;21
215;21
12;21
10;21
143;21
298;21
107;21
216;21
30;21
12;21
280;21
100;21
224;21
147;21
267;21
203;21
95;21
59;21
10;21
84;21
165;21
30;21
94;21
147;21
205;21
288;21
222;21
89;21
43;21
241;21
78;21
68;21
75;21
218;21
240;21
186;21
110;21
148;21
123;21
298;21
295;21
47;21
46;21
11;21
46;21
226;21
137;21
196;21
257;21
59;21
138;21
48;21
231;21
53;21
111;21
72;21
53;21
11;21
189;21
282;21
162;22
140;22
133;22
286;22
244;22
218;22
266;22
174;22
110;22
108;22
159;22
214;22
289;22
202;22
117;22
156;22
89;22
92;22
111;22
184;23
313;24
428;24
587;24
590;24
554;24
57;25
111;25
123;25
189;25
241;25
298;25
101;25
215;25
558;25
241;26
298;27
596;28
111;29
17;30
25;30
12;30
21;30
8;30
19;30
7;30
85;30
6;30
14;30
10;30
18;30
16;30
20;30
4;30
15;30
22;30
183;30
11;30
69;30
5;30
23;30
9;30
13;30
33;31
59;31
84;31
81;31
548;32
521;33
576;34
576;34
298;35
298;35
298;35
298;35
536;36
306;37
4;38
304;39
554;40
396;40
428;40
428;40
590;40
428;40
596;41
536;42
596;43
596;44
149;45
558;46
577;47
15;48
22;48
18;48
125;49
541;50
246;51
298;51
558;51
558;51
163;52
558;52
558;52
576;53
298;54
298;55
591;56
255;57
184;57
491;58
492;59
195;60
551;61
596;62
74;63
191;64
285;64
383;65
147;66
111;66
6;67
17;67
19;67
23;67
18;67
10;68
184;69
596;70
250;71
246;72
90;72
3;72
298;72
536;73
449;74
108;74
347;75
224;76
354;77
298;78
75;78
395;79
395;79
127;79
244;79
59;79
298;80
565;81
421;81
565;81
298;82
211;83
67;83
211;84
58;84
56;84
124;85
121;85
53;85
268;85
130;85
107;85
472;86
370;87
163;88
3;88
252;88
581;89
479;90
581;90
298;91
596;92
347;93
428;94
191;95
285;95
191;95
590;96
428;96
428;97
437;98
298;99
558;100
596;100
443;101
298;102
576;103
336;104
470;105
536;106
336;107
502;108
476;108
548;108
545;109
319;109
548;109
508;109
321;109
435;110
196;111
596;112
596;113
576;114
347;115
587;116
326;117
